iter	Logloss	F1
0	0.6477516225	0.625199362
1	0.6180182118	0.6373182553
2	0.5932248958	0.6470143613
3	0.5647161949	0.6433677522
4	0.5345031386	0.642602142
5	0.5116890581	0.6504970179
6	0.4913345817	0.648347272
7	0.4680298055	0.6504389465
8	0.4510953992	0.6561139691
9	0.4343712351	0.6566097658
10	0.4190573492	0.6627218935
11	0.4053795268	0.662693683
12	0.3918898859	0.6611044895
13	0.3804250175	0.6621675268
14	0.3675860439	0.6616481775
15	0.3579291106	0.6619047619
16	0.3487510663	0.6605940594
17	0.3366253975	0.6629659001
18	0.3290976624	0.6656138966
19	0.3248742397	0.6624051139
20	0.3191297211	0.6602409639
21	0.312961583	0.6596519628
22	0.3077124669	0.6596604689
23	0.3035005002	0.6620801295
24	0.2973329119	0.6609894566
25	0.2932481546	0.6647773279
26	0.2907747041	0.6546201232
27	0.286192713	0.6573884568
28	0.2827379836	0.6551724138
29	0.2778895719	0.65625
30	0.2755777799	0.6548307184
31	0.2720618299	0.65815486
32	0.2700310293	0.6578947368
33	0.2667800689	0.6573541495
34	0.2634465838	0.6589880708
35	0.2616125306	0.6589307915
36	0.2596074454	0.6575456053
37	0.2572106098	0.6611570248
38	0.2547668351	0.6625463535
39	0.2529310783	0.6650226058
40	0.2516341267	0.6650205761
41	0.2492292865	0.6644709757
42	0.2481728376	0.665568369
43	0.2469541564	0.6661170651
44	0.2459299817	0.6619834711
45	0.2450541962	0.6614173228
46	0.2440547075	0.6614107884
47	0.2424994932	0.6639038541
48	0.240793772	0.6630750104
49	0.2400843611	0.6630750104
50	0.2391638532	0.6655642828
51	0.2385996047	0.6655615416
52	0.2382137171	0.6630525438
53	0.2381259976	0.6624895572
54	0.2373282381	0.661930631
55	0.2367233974	0.6644490644
56	0.2358190043	0.6636136553
57	0.235224581	0.6661122661
58	0.2343967755	0.6683312526
59	0.2337601272	0.6674979219
60	0.2332951399	0.6672226856
61	0.2329428224	0.6658301966
62	0.231644357	0.6686119216
63	0.2308264472	0.6688879633
64	0.2302211373	0.6688851913
65	0.2301353173	0.6688879633
66	0.2294803528	0.670274771
67	0.2289091511	0.6719269103
68	0.2284211485	0.6735794276
69	0.2281949885	0.6746688742
70	0.2279043761	0.6743897393
71	0.2277421227	0.6719269103
72	0.2276982035	0.6705490849
73	0.2276208529	0.6708281315
74	0.2268324967	0.6733001658
75	0.2262478571	0.673013245
76	0.2258336259	0.6735708368
77	0.2254087803	0.6741293532
78	0.2250824668	0.6744089589
79	0.2247891266	0.6738589212
80	0.2245808302	0.6722199084
81	0.2239907725	0.6744186047
82	0.2238073918	0.6760680216
83	0.2236047283	0.6738589212
84	0.2233876375	0.6733167082
85	0.223144767	0.6749792186
86	0.2228833416	0.6744282744
87	0.2221629275	0.6763485477
88	0.2219447923	0.6782608696
89	0.2215893506	0.6774461028
90	0.2212370602	0.6779941981
91	0.2209218118	0.6785566155
92	0.2206738029	0.6788230419
93	0.2202519804	0.6791044776
94	0.2201190592	0.6802156781
95	0.2199803286	0.6802325581
96	0.2196465244	0.681346074
97	0.2194555976	0.6805151641
98	0.2191482263	0.6813278008
99	0.2189669456	0.681346074
100	0.2187798831	0.6813643927
101	0.2183963336	0.6799667498
102	0.2181953325	0.6816479401
103	0.2179701872	0.6816666667
104	0.2177665545	0.6808333333
105	0.2175485097	0.6816666667
106	0.2171922692	0.6813643927
107	0.2167839221	0.6832710668
108	0.216645247	0.6843633347
109	0.2164529666	0.6843633347
110	0.2162712151	0.6854771784
111	0.2161321477	0.6846697133
112	0.215749897	0.6858094049
113	0.2155713803	0.6852390852
114	0.2152640411	0.6865919469
115	0.2152621185	0.6865919469
116	0.2150102732	0.6865671642
117	0.2147529382	0.6857379768
118	0.2142612191	0.6868268434
119	0.2140049555	0.6876553438
120	0.2139686463	0.6876553438
121	0.2135870115	0.6879403232
122	0.2135050173	0.688769167
123	0.2132789994	0.6884567646
124	0.2130110253	0.6895695364
125	0.2127022271	0.6898263027
126	0.2124265529	0.6914805624
127	0.2121563913	0.6906534326
128	0.211970924	0.6901117087
129	0.2118759142	0.6901117087
130	0.2118122399	0.690397351
131	0.211720819	0.6895695364
132	0.2116196235	0.690397351
133	0.2115264055	0.6898550725
134	0.2114934872	0.6906832298
135	0.21130541	0.6912556983
136	0.211220094	0.6918291165
137	0.211020415	0.6920845421
138	0.2108666314	0.6920845421
139	0.2107382809	0.692371476
140	0.210575488	0.6934548467
141	0.2103760913	0.6929133858
142	0.2101876331	0.6937422296
143	0.2100842518	0.6931677019
144	0.2099131478	0.6950765412
145	0.2097254744	0.6947890819
146	0.2095572314	0.6950765412
147	0.2093313336	0.696192053
148	0.2092926346	0.696192053
149	0.2090627892	0.6970576046
150	0.2090540708	0.6962287609
151	0.208937282	0.6970576046
152	0.2087101854	0.6970198675
153	0.2086671746	0.6975589574
154	0.208658739	0.6975589574
155	0.2085234517	0.6973084886
156	0.2084539399	0.698136646
157	0.2083913943	0.698136646
158	0.2082219189	0.6978864484
159	0.2081136286	0.6987152922
160	0.2079250003	0.6990049751
161	0.207883539	0.6995441359
162	0.2078424195	0.6995441359
163	0.2077714963	0.6995441359
164	0.2077450255	0.6995441359
165	0.2076256104	0.6992543496
166	0.2075633409	0.6992543496
167	0.2073747023	0.6992543496
168	0.2072782685	0.700621118
169	0.2072344189	0.7003311258
170	0.2070296632	0.7009113505
171	0.2069277477	0.7014492754
172	0.2068873635	0.7014492754
173	0.206766772	0.7009113505
174	0.2066154342	0.7009113505
175	0.206551164	0.700621118
176	0.2064850143	0.700621118
177	0.206274768	0.6995033113
178	0.206200599	0.6989648033
179	0.2061128028	0.6997929607
180	0.205898945	0.6998341625
181	0.2057445061	0.6990049751
182	0.2055377298	0.6992948984
183	0.2054776418	0.7003729797
184	0.2053584436	0.7014492754
185	0.2052607235	0.7014492754
186	0.2052606626	0.7014492754
187	0.2052226214	0.7014492754
188	0.2050768103	0.7014492754
189	0.2049442518	0.7011589404
190	0.2046415984	0.7025237898
191	0.2045243173	0.7036423841
192	0.2044389689	0.7036423841
193	0.2043871113	0.7036423841
194	0.2043473343	0.7036423841
195	0.2042353765	0.7036883547
196	0.2041307763	0.7036883547
197	0.203892998	0.7036883547
198	0.2036665617	0.7042253521
199	0.2036664619	0.7042253521
200	0.2035008172	0.7044701987
201	0.2032522254	0.704178734
202	0.2031950758	0.7036423841
203	0.203093337	0.705006206
204	0.2030074325	0.7052980132
205	0.202890661	0.7054935977
206	0.2027269362	0.7068538398
207	0.2026012746	0.7071458075
208	0.2025466898	0.7069036792
209	0.2024585197	0.7074380165
210	0.2023439274	0.7069036792
211	0.202204757	0.7071458075
212	0.2020568103	0.7069036792
213	0.2019309369	0.7063688999
214	0.2016461351	0.7066115702
215	0.2015103848	0.7066115702
216	0.2014564628	0.7071458075
217	0.2014260039	0.7071458075
218	0.2013546979	0.7071458075
219	0.2012384368	0.7068538398
220	0.2009510477	0.7055417701
221	0.200886189	0.7060768913
222	0.2007611729	0.7066115702
223	0.2006635845	0.7060768913
224	0.2006325763	0.7060768913
225	0.2004195438	0.7071458075
226	0.200311185	0.7063197026
227	0.2000663965	0.7071458075
228	0.1999002329	0.7085053675
229	0.1998552698	0.7085053675
230	0.1998239117	0.7082129591
231	0.199738154	0.7082129591
232	0.1996748493	0.7085053675
233	0.1996027017	0.7085572551
234	0.1995191771	0.7093311313
235	0.1994927582	0.7096241223
236	0.1992885554	0.707781457
237	0.1990319204	0.7082644628
238	0.1989445686	0.7090909091
239	0.198925463	0.7096241223
240	0.1987939774	0.7099173554
241	0.19879092	0.7099173554
242	0.1987511269	0.7099173554
243	0.1985587076	0.7107438017
244	0.1984879649	0.710982659
245	0.1983259751	0.7106892282
246	0.1982140454	0.7106892282
247	0.1981825063	0.7101568951
248	0.1981574746	0.7101568951
249	0.1981567915	0.7101568951
250	0.1980114323	0.7117525773
251	0.1979746824	0.7117525773
252	0.1979687161	0.7117525773
253	0.1978387276	0.7122835944
254	0.1977133882	0.7122835944
255	0.1976569808	0.7122835944
256	0.1976472558	0.7122835944
257	0.1974978666	0.7136382365
258	0.1974654222	0.7136382365
259	0.1973692163	0.7128141739
260	0.1973516381	0.7122835944
261	0.1971298334	0.7128141739
262	0.1971208983	0.7128141739
263	0.1969200368	0.7138740222
264	0.19672558	0.7133443163
265	0.1965976152	0.7131079967
266	0.1965077222	0.7141680395
267	0.1964270138	0.7141680395
268	0.1962707345	0.7144622991
269	0.1962563926	0.7144622991
270	0.1962450614	0.7144622991
271	0.1962305534	0.7146974063
272	0.1961317049	0.7152863618
273	0.1960879823	0.7152863618
274	0.1960847132	0.7152863618
275	0.1959366886	0.7146974063
276	0.1957758704	0.7160493827
277	0.195676958	0.7160493827
278	0.195610595	0.7160493827
279	0.1955433544	0.7165775401
280	0.1952331804	0.7155207904
281	0.1951472717	0.7163441746
282	0.1951342668	0.7163441746
283	0.1949848141	0.715815486
284	0.1949268668	0.7155207904
285	0.1948548232	0.7160493827
286	0.194771665	0.7165775401
287	0.194656845	0.7163441746
288	0.1944880176	0.7174629325
289	0.1943358685	0.7179909428
290	0.1942199859	0.7174629325
291	0.1942003287	0.7177585496
292	0.1941768432	0.7177585496
293	0.1941619059	0.7177585496
294	0.1940870875	0.7177585496
295	0.1940641678	0.7177585496
296	0.1939604621	0.7177585496
297	0.1937881266	0.71875
298	0.1937097678	0.7203947368
299	0.1935568962	0.7200986436
300	0.1935304853	0.7200986436
301	0.1934729497	0.7203285421
302	0.193278595	0.7198027938
303	0.1930990846	0.7200986436
304	0.1929370781	0.7206910736
305	0.1929316827	0.7206910736
306	0.1927278307	0.7218106996
307	0.1926143783	0.7226337449
308	0.1925101131	0.7225647349
309	0.1923648923	0.7221078633
310	0.192352728	0.7218106996
311	0.1923520172	0.7218106996
312	0.1922899331	0.7218106996
313	0.1922278157	0.7226337449
314	0.1921115849	0.7231591937
315	0.1920602579	0.7231591937
316	0.1920058819	0.7233867653
317	0.191921547	0.7228618421
318	0.191679496	0.7242087957
319	0.1915480822	0.7247329499
320	0.1915196922	0.7249589491
321	0.1914637032	0.7252566735
322	0.1913873107	0.7263763353
323	0.1913705518	0.7260780287
324	0.1911474449	0.7263763353
325	0.1909618733	0.7274220033
326	0.1909338361	0.7274220033
327	0.1908667324	0.7266009852
328	0.1906891559	0.7266009852
329	0.1906230289	0.7266009852
330	0.1905130703	0.726899384
331	0.1902777419	0.7280197206
332	0.1900906236	0.7288414133
333	0.189902425	0.7298850575
334	0.1897644469	0.7288414133
335	0.1895756095	0.730785039
336	0.1894992239	0.7310855263
337	0.1894203995	0.7313862608
338	0.1892223271	0.7305635541
339	0.1891494685	0.7305635541
340	0.1891472217	0.7305635541
341	0.1891412782	0.7305635541
342	0.1890836499	0.7302631579
343	0.1890056602	0.7302631579
344	0.1887867768	0.7310855263
345	0.188675912	0.7310855263
346	0.1886056933	0.7310855263
347	0.1885339826	0.7316070695
348	0.1882826439	0.7329498767
349	0.1881902859	0.7334702259
350	0.1881873428	0.7331691297
351	0.1881633582	0.7336889618
352	0.1880348072	0.7336889618
353	0.1879715681	0.7336889618
354	0.1877947442	0.7326488706
355	0.1877399809	0.7329498767
356	0.1877338495	0.7334702259
357	0.1876675713	0.7348111658
358	0.1876391086	0.7348111658
359	0.1875368243	0.7353303242
360	0.1873566675	0.7356321839
361	0.1873082374	0.7356321839
362	0.1872997358	0.7356321839
363	0.1871473775	0.7351129363
364	0.1870263949	0.7359342916
365	0.1869572858	0.7354149548
366	0.1869142377	0.7357172215
367	0.1866906794	0.7376644737
368	0.1865832358	0.7376644737
369	0.1865756248	0.7376644737
370	0.1865246263	0.7379679144
371	0.186363692	0.7382716049
372	0.1861905018	0.7399176955
373	0.1859540069	0.7407407407
374	0.1858986458	0.7402223137
375	0.1856763805	0.7400082406
376	0.1855512214	0.7405271829
377	0.1854242167	0.7410456978
378	0.185310483	0.7410456978
379	0.1851240889	0.7416563659
380	0.1850704953	0.7421746293
381	0.18482126	0.742081448
382	0.1848172704	0.742081448
383	0.1846925792	0.7429983526
384	0.1845455888	0.7429983526
385	0.1843863048	0.7433044911
386	0.1843744129	0.7433044911
387	0.1842501735	0.7449526164
388	0.1842110911	0.7449526164
389	0.1840221483	0.7458745875
390	0.1838026012	0.7458745875
391	0.1836472829	0.7458745875
392	0.1835298618	0.7461824185
393	0.1834529484	0.7464905037
394	0.1834469447	0.7464905037
