iter	Passed	Remaining
0	29	87515
1	61	92364
2	79	79146
3	111	83225
4	139	83342
5	166	82866
6	193	82818
7	222	83277
8	251	83538
9	280	83866
10	308	83738
11	337	84039
12	363	83633
13	391	83470
14	418	83184
15	441	82426
16	468	82169
17	494	81884
18	517	81128
19	544	81178
20	572	81251
21	604	81846
22	635	82204
23	664	82405
24	694	82616
25	748	85658
26	777	85654
27	807	85717
28	837	85777
29	867	85867
30	898	86021
31	927	86055
32	958	86158
33	992	86600
34	1029	87209
35	1104	90919
36	1135	90896
37	1164	90800
38	1194	90686
39	1223	90524
40	1252	90410
41	1284	90442
42	1312	90274
43	1341	90123
44	1370	89978
45	1398	89779
46	1442	90611
47	1474	90654
48	1531	92209
49	1561	92156
50	1593	92167
51	1622	91990
52	1651	91831
53	1659	90511
54	1687	90352
55	1706	89703
56	1735	89619
57	1764	89523
58	1793	89390
59	1823	89357
60	1853	89324
61	1884	89283
62	1912	89176
63	1943	89158
64	1973	89094
65	1985	88259
66	2017	88307
67	2046	88248
68	2076	88194
69	2105	88120
70	2138	88230
71	2168	88171
72	2180	87422
73	2194	86791
74	2223	86735
75	2253	86688
76	2283	86693
77	2313	86679
78	2342	86606
79	2370	86516
80	2398	86432
81	2427	86374
82	2454	86278
83	2484	86233
84	2514	86242
85	2545	86243
86	2575	86225
87	2608	86326
88	2638	86304
89	2669	86297
90	2700	86321
91	2729	86260
92	2757	86179
93	2786	86147
94	2815	86085
95	2843	86027
96	2872	85975
97	2902	85948
98	2931	85897
99	2960	85864
100	2989	85799
101	3019	85791
102	3048	85732
103	3077	85692
104	3106	85642
105	3136	85638
106	3176	85888
107	3205	85840
108	3235	85805
109	3264	85754
110	3293	85714
111	3321	85658
112	3350	85603
113	3394	85937
114	3425	85939
115	3442	85596
116	3471	85548
117	3501	85510
118	3530	85465
119	3560	85445
120	3593	85490
121	3622	85452
122	3651	85409
123	3680	85368
124	3709	85322
125	3739	85284
126	3768	85241
127	3797	85211
128	3827	85191
129	3855	85114
130	3883	85058
131	3902	84785
132	3930	84730
133	3959	84684
134	3988	84634
135	4020	84676
136	4048	84597
137	4077	84555
138	4105	84492
139	4134	84455
140	4162	84407
141	4192	84385
142	4221	84336
143	4250	84297
144	4281	84293
145	4310	84258
146	4340	84236
147	4368	84174
148	4395	84101
149	4424	84074
150	4437	83717
151	4465	83671
152	4496	83669
153	4525	83625
154	4536	83268
155	4563	83198
156	4595	83215
157	4624	83179
158	4652	83124
159	4680	83085
160	4709	83041
161	4736	82982
162	4765	82936
163	4794	82901
164	4821	82833
165	4850	82805
166	4876	82728
167	4905	82697
168	4934	82661
169	4962	82608
170	4990	82565
171	5023	82590
172	5052	82562
173	5081	82535
174	5110	82499
175	5139	82458
176	5166	82404
177	5195	82374
178	5224	82335
179	5253	82299
180	5280	82247
181	5309	82207
182	5336	82151
183	5366	82127
184	5394	82087
185	5418	81979
186	5425	81615
187	5453	81570
188	5481	81527
189	5509	81481
190	5538	81449
191	5566	81407
192	5596	81394
193	5624	81346
194	5652	81311
195	5682	81291
196	5710	81251
197	5739	81220
198	5768	81193
199	5779	80912
200	5806	80860
201	5835	80834
202	5864	80809
203	5893	80780
204	5922	80748
205	5951	80727
206	5979	80686
207	6007	80643
208	6043	80711
209	6072	80683
210	6100	80640
211	6128	80601
212	6156	80557
213	6184	80519
214	6213	80491
215	6241	80440
216	6274	80466
217	6302	80422
218	6330	80387
219	6358	80350
220	6386	80309
221	6414	80271
222	6442	80231
223	6474	80234
224	6498	80144
225	6527	80126
226	6556	80097
227	6588	80097
228	6616	80060
229	6645	80037
230	6674	80009
231	6704	79987
232	6733	79960
233	6761	79919
234	6789	79889
235	6818	79855
236	6845	79805
237	6873	79761
238	6900	79716
239	6929	79685
240	6957	79651
241	6977	79523
242	7005	79487
243	7033	79443
244	7069	79501
245	7098	79465
246	7126	79428
247	7153	79383
248	7181	79343
249	7197	79176
250	7225	79137
251	7254	79106
252	7281	79065
253	7311	79041
254	7339	79009
255	7367	78973
256	7396	78939
257	7424	78908
258	7453	78879
259	7483	78863
260	7512	78834
261	7541	78812
262	7561	78693
263	7590	78668
264	7620	78648
265	7648	78609
266	7675	78569
267	7704	78538
268	7732	78500
269	7759	78459
270	7788	78429
271	7816	78396
272	7845	78364
273	7874	78344
274	7898	78265
275	7927	78240
276	7955	78203
277	7984	78174
278	8012	78147
279	8041	78117
280	8079	78180
281	8108	78151
282	8137	78124
283	8165	78090
284	8193	78058
285	8228	78080
286	8256	78051
287	8285	78024
288	8314	77990
289	8343	77964
290	8372	77940
291	8401	77913
292	8430	77888
293	8458	77856
294	8488	77834
295	8517	77811
296	8546	77783
297	8578	77778
298	8606	77746
299	8633	77705
300	8661	77665
301	8689	77626
302	8716	77588
303	8745	77556
304	8774	77530
305	8802	77492
306	8832	77474
307	8861	77452
308	8889	77415
309	8917	77377
310	8944	77339
311	8963	77223
312	8991	77187
313	9019	77154
314	9050	77143
